heart,resisto,speedo
-0.80,0.38,0.98
0.11,0.39,0.98
-0.12,0.39,0.99
-1.00,0.39,0.98
-0.54,0.39,0.98
1.00,0.39,0.98
-0.60,0.39,0.98
-1.00,0.39,0.98
-0.55,0.39,0.99
0.13,0.39,0.98
-0.76,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.39,0.39,0.98
-0.30,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.10,0.39,0.98
-0.13,0.39,0.98
-1.00,0.39,0.98
-0.88,0.39,0.98
0.25,0.39,0.98
-0.28,0.39,0.98
-0.76,0.39,0.98
-0.51,0.39,0.98
-0.93,0.39,0.98
-0.90,0.39,0.98
-0.14,0.39,0.98
-0.65,0.39,0.98
-1.00,0.39,0.98
-0.60,0.39,0.98
-0.25,0.39,0.98
-1.00,0.39,0.98
-0.97,0.39,0.98
0.01,0.39,0.98
-0.35,0.39,0.98
-0.99,0.39,0.97
-0.20,0.39,0.98
0.14,0.39,0.98
-0.51,0.39,0.98
-0.33,0.39,0.98
-0.19,0.39,0.98
-0.79,0.38,0.98
-0.38,0.39,0.98
0.34,0.39,0.98
-0.55,0.39,0.98
-1.00,0.39,0.98
0.24,0.39,0.98
1.00,0.39,0.98
-0.49,0.39,0.98
-0.89,0.39,0.97
0.01,0.39,0.98
0.01,0.39,0.98
0.37,0.39,0.98
0.45,0.39,0.98
-0.48,0.38,0.98
0.02,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
-0.13,0.39,0.98
0.17,0.39,0.98
1.00,0.39,0.98
-0.05,0.39,0.98
-0.65,0.38,0.98
-0.28,0.39,0.98
-0.42,0.39,0.98
-0.72,0.39,0.99
-0.23,0.39,0.98
-0.42,0.39,0.98
-0.91,0.39,0.97
-0.03,0.39,0.98
0.45,0.39,0.98
-0.49,0.39,0.98
-0.29,0.39,0.98
1.00,0.39,0.98
0.44,0.39,0.98
-0.31,0.39,0.98
0.83,0.39,0.97
1.00,0.39,0.98
0.29,0.39,0.98
0.31,0.39,0.98
0.45,0.39,0.99
-0.22,0.39,0.98
0.01,0.39,0.98
1.00,0.39,0.98
0.61,0.39,0.98
-0.00,0.38,0.97
0.26,0.39,0.98
-0.47,0.39,0.98
-0.97,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.99
1.00,0.39,0.98
0.36,0.39,0.98
1.00,0.39,0.98
0.92,0.39,0.98
-0.57,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
0.62,0.39,0.97
1.00,0.39,0.98
0.93,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.97
1.00,0.39,0.99
0.36,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.31,0.39,0.98
0.48,0.39,0.98
-0.40,0.39,0.98
-1.00,0.39,0.98
-0.80,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
-0.64,0.39,0.98
-1.00,0.39,0.97
-0.19,0.39,0.98
0.99,0.39,0.98
0.30,0.39,0.98
0.57,0.39,0.98
0.92,0.39,0.98
-0.14,0.39,0.98
0.16,0.39,0.97
1.00,0.39,0.98
0.74,0.39,0.98
0.05,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.96
1.00,0.39,1.00
1.00,0.39,0.98
0.21,0.39,0.98
0.18,0.39,0.97
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
-0.04,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.99
1.00,0.39,0.99
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.38,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
1.00,0.39,0.98
0.45,0.39,0.97
-0.39,0.38,0.98
0.23,0.39,0.98
0.46,0.39,0.98
-0.11,0.39,0.99
0.29,0.39,0.98
0.32,0.39,0.97
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.12,0.39,0.98
0.04,0.39,0.99
-0.60,0.39,0.98
-0.52,0.39,0.98
-1.00,0.39,0.99
-1.00,0.39,0.98
0.05,0.39,0.98
0.62,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.98,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.90,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.97
-1.00,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.68,0.39,0.98
1.00,0.39,0.98
0.48,0.39,0.98
-1.00,0.39,0.98
-1.00,0.39,0.98
-0.78,0.39,0.98
-0.44,0.39,0.98
0.06,0.39,0.98
-0.15,0.39,0.98
-1.00,0.39,0.98
-0.82,0.39,0.98
0.14,0.39,0.98
-0.61,0.39,0.98
-1.00,0.39,0.96
-1.00,0.39,0.98
