,heart,heartbeat_label
0,1.3,False
1,-1.33,False
2,-1.73,False
3,1.11,False
4,-0.12,False
5,-2.1,False
6,0.39,False
7,0.69,False
8,-2.12,False
9,-0.76,False
10,1.25,False
11,-1.3,False
12,-1.71,False
13,1.07,False
14,-0.29,False
15,-2.27,False
16,0.26,False
17,0.71,False
18,-2.08,False
19,-0.09,False
20,9.25,False
21,4.47,False
22,-4.31,False
23,-4.16,False
24,-3.62,False
25,-3.83,False
26,-0.45,False
27,0.39,False
28,-2.35,False
29,-1.02,False
30,1.07,False
31,-1.42,False
32,-1.82,False
33,0.99,False
34,-0.34,False
35,-2.34,False
36,0.24,False
37,0.7,False
38,-2.16,False
39,-0.88,False
40,1.08,False
41,-1.43,False
42,-1.85,False
43,1.02,False
44,-0.31,False
45,-2.3,False
46,0.27,False
47,0.65,False
48,-2.11,False
49,-0.81,False
50,1.21,False
51,-1.2,False
52,-1.76,False
53,1.01,False
54,-0.36,False
55,-2.35,False
56,0.22,False
57,0.7,False
58,-2.13,False
59,-0.86,False
60,1.17,False
61,-1.31,False
62,-1.78,False
63,1.04,False
64,-0.23,False
65,-2.24,False
66,0.28,False
67,0.72,False
68,-2.12,False
69,-0.87,False
70,1.22,False
71,-1.34,False
72,-1.81,False
73,1.0,False
74,-0.32,False
75,-2.34,False
76,0.21,False
77,0.69,False
78,-2.12,False
79,-0.86,False
80,1.02,False
81,2.28,False
82,6.48,False
83,2.61,False
84,-5.0,False
85,-7.26,False
86,-2.27,False
87,-0.23,False
88,-2.69,False
89,-1.29,False
90,0.86,False
91,-1.59,False
92,-2.0,False
93,0.92,False
94,-0.34,False
95,-2.41,False
96,0.23,False
97,0.68,False
98,-2.21,False
99,-0.98,False
100,1.09,False
101,-1.42,False
102,-1.95,False
103,0.91,False
104,-0.32,False
105,-2.34,False
106,0.17,False
107,0.7,False
108,-2.09,False
109,-0.84,False
110,1.19,False
111,-1.34,False
112,-1.82,False
113,1.02,False
114,-0.23,False
115,-2.29,False
116,0.23,False
117,0.72,False
118,-2.11,False
119,-0.87,False
120,1.2,False
121,-1.33,False
122,-1.81,False
123,1.02,False
124,-0.23,False
125,-2.27,False
126,0.21,False
127,0.71,False
128,-2.09,False
129,-0.86,False
130,1.22,False
131,-1.33,False
132,-1.83,False
133,1.02,False
134,-0.16,False
135,-2.22,False
136,0.24,False
137,0.77,False
138,-2.08,False
139,-0.86,False
140,1.17,False
141,-1.36,False
142,-0.7,False
143,9.49,False
144,4.2,False
145,-5.55,False
146,-4.64,False
147,-2.06,False
148,-3.31,False
149,-1.46,False
150,0.81,False
151,-1.53,False
152,-2.05,False
153,0.85,False
154,-0.31,False
155,-2.35,False
156,0.18,False
157,0.69,False
158,-2.12,False
159,-0.93,False
160,1.14,False
161,-1.35,False
162,-1.87,False
163,0.99,False
164,-0.32,False
165,-2.28,False
166,0.23,False
167,0.7,False
168,-2.16,False
169,-0.95,False
170,1.11,False
171,-1.37,False
172,-1.87,False
173,0.96,False
174,-0.3,False
175,-2.5,False
176,0.12,False
177,0.62,False
178,-2.18,False
179,-0.95,False
180,1.18,False
181,-1.32,False
182,-1.85,False
183,0.98,False
184,-0.24,False
185,-2.35,False
186,0.15,False
187,0.69,False
188,-2.11,False
189,-0.94,False
190,1.13,False
191,-1.36,False
192,-1.9,False
193,0.94,False
194,-0.26,False
195,-2.34,False
196,0.21,False
197,0.69,False
198,-2.11,False
199,-0.92,False
200,1.14,False
201,-1.32,False
202,-1.87,False
203,0.89,False
204,4.35,False
205,4.77,False
206,-0.25,False
207,-4.02,False
208,-6.12,False
209,-2.89,False
210,0.4,False
211,-1.76,False
212,-2.2,False
213,0.73,False
214,-0.4,False
215,-2.5,False
216,0.06,False
217,0.58,False
218,-2.21,False
219,-1.01,False
220,1.09,False
221,-1.38,False
222,-1.95,False
223,0.84,False
224,-0.36,False
225,-2.5,False
226,-0.05,False
227,0.56,False
228,-2.16,False
229,-0.99,False
230,1.13,False
231,-1.29,False
232,-1.83,False
233,0.97,False
234,-0.31,False
235,-2.37,False
236,0.09,False
237,0.71,False
238,-2.11,False
239,-1.02,False
240,1.04,False
241,-1.34,False
242,-2.24,False
243,0.09,False
244,-0.83,False
245,-2.5,False
246,0.13,False
247,0.68,False
248,-2.14,False
249,-0.93,False
250,1.15,False
251,-1.33,False
252,-1.85,False
253,0.96,False
254,-0.23,False
255,-2.23,False
256,0.39,False
257,0.93,False
258,-1.93,False
259,-0.69,False
260,1.45,False
261,-0.94,False
262,-1.55,False
263,1.12,False
264,-0.26,False
265,-0.6,False
266,8.47,False
267,3.98,False
268,-5.89,False
269,-5.79,False
270,-1.38,False
271,-2.27,False
272,3.08,False
273,10.0,False
274,-1.86,False
275,-10.0,False
276,-10.0,False
277,-9.4,False
278,-6.25,False
279,-1.81,False
280,0.93,False
281,-1.56,False
282,-2.11,False
283,0.97,False
284,-0.03,False
285,-2.03,False
286,0.42,False
287,1.07,False
288,-1.79,False
289,-0.65,False
290,1.47,False
291,-0.94,False
292,-1.53,False
293,1.3,False
294,0.14,False
295,-2.04,False
296,0.45,False
297,1.1,False
298,-1.69,False
299,-0.55,False
300,1.51,False
301,-0.94,False
302,-1.56,False
303,1.28,False
304,0.14,False
305,-1.95,False
306,0.52,False
307,1.07,False
308,-1.76,False
309,-0.6,False
310,1.49,False
311,-0.96,False
312,-1.55,False
313,1.2,False
314,0.12,False
315,-2.02,False
316,0.46,False
317,1.02,False
318,-1.8,False
319,-0.7,False
320,1.4,False
321,-1.03,False
322,-1.64,False
323,1.22,False
324,0.08,False
325,-2.04,False
326,0.55,False
327,7.48,False
328,4.86,False
329,-2.01,False
330,-3.42,False
331,-4.65,False
332,-3.43,False
333,0.48,False
334,-0.37,False
335,-2.41,False
336,0.16,False
337,0.83,False
338,-1.93,False
339,-0.83,False
340,1.34,False
341,-1.08,False
342,-1.74,False
343,1.14,False
344,0.05,False
345,-2.13,False
346,0.32,False
347,1.01,False
348,-1.87,False
349,-0.84,False
350,1.34,False
351,-1.05,False
352,-1.75,False
353,1.09,False
354,0.05,False
355,-2.13,False
356,0.3,False
357,1.02,False
358,-1.86,False
359,-0.79,False
360,1.33,False
361,-1.04,False
362,-1.78,False
363,1.04,False
364,-0.05,False
365,-2.19,False
366,0.23,False
367,0.93,False
368,-1.87,False
369,-0.86,False
370,1.28,False
371,-1.08,False
372,-1.71,False
373,1.07,False
374,-0.06,False
375,-2.19,False
376,0.19,False
377,0.86,False
378,-1.94,False
379,-0.83,False
380,1.26,False
381,-1.17,False
382,-1.78,False
383,1.02,False
384,-0.14,False
385,-2.22,False
386,0.18,False
387,0.79,False
388,0.42,False
389,7.21,False
390,3.67,False
391,-5.25,False
392,-6.48,False
