t,hb,pedal
1551044455.9945867,0,0
1551044456.9789627,0,0
1551044457.9633386,0,0
1551044458.9477916,0,0
1551044459.9320924,0,0
1551044460.9165442,0,0
1551044462.0102978,0,0
1551044462.9946687,1,0
1551044463.9790442,1,0
1551044464.9633496,0,0
1551044465.9477258,0,0
1551044467.041478,0,0
1551044468.0259068,0,0
1551044469.0103083,4,0
1551044469.9946582,0,0
1551044470.994683,0,0
1551044472.072735,4,0
1551044473.0571117,0,0
1551044474.041488,0,0
1551044475.0258636,0,0
1551044476.0102925,0,0
1551044476.994617,0,0
1551044478.088445,7,0
1551044479.0727448,13,0
1551044480.0571225,4,0
1551044481.0415556,15,0
1551044482.0259373,3,0
1551044483.119627,2,0
1551044484.1040032,2,1
1551044485.0883799,0,1
1551044486.0727563,3,2
1551044487.0571327,0,2
1551044488.1509588,5,2
1551044489.1353116,3,2
1551044490.1196373,7,1
1551044491.1052597,3,2
1551044492.105262,2,2
1551044493.0740135,0,2
1551044494.1677642,0,1
1551044495.1521416,0,2
1551044496.1521418,17,2
1551044497.1208932,19,2
1551044498.1209655,0,2
1551044499.1990972,1,1
1551044500.1834521,5,2
1551044501.1834002,5,2
1551044502.1677766,3,2
1551044503.136602,4,2
1551044504.2303507,3,1
1551044505.2146564,2,2
1551044506.1991098,2,2
1551044507.1990345,2,2
1551044508.1834111,3,2
1551044509.1677873,5,2
1551044510.2615387,6,1
1551044511.230368,4,2
1551044512.2302911,0,2
1551044513.1990972,0,2
1551044514.1990447,2,1
1551044515.2772458,16,0
1551044516.2771728,0,0
1551044517.2615495,187,0
1551044518.2413826,58,0
