t,hb,pedal,resistance
1551050338.1979637,4,0,0.04
1551050339.1980379,3,0,0.04
1551050340.1823757,4,0,0.04
1551050341.1667173,0,0,0.04
1551050342.2605033,2,0,0.04
1551050343.2448454,33,0,0.04
1551050344.2292626,34,0,0.04
1551050345.2135978,26,1,0.04
1551050346.1979744,43,1,0.04
1551050347.2929668,46,1,0.04
1551050348.2773795,41,1,0.04
1551050349.2617593,46,1,0.04
1551050350.2461329,31,0,0.04
1551050351.2304742,31,1,0.04
1551050352.3242786,14,0,0.04
1551050353.3086014,14,0,0.04
1551050354.2929773,14,0,0.04
1551050355.277354,9,0,0.04
1551050356.2617676,2,1,0.04
1551050357.341284,2,1,0.04
1551050358.3256617,1,2,0.04
1551050359.3099625,1,3,0.04
1551050360.294399,0,3,0.05
1551050361.2787151,1,3,0.04
1551050362.372509,0,3,0.04
1551050363.3647192,3,3,0.04
1551050364.3490577,1,2,0.04
1551050365.333434,0,3,0.04
1551050366.3178113,0,3,0.04
1551050367.301328,0,3,0.04
1551050368.395114,0,2,0.04
1551050369.3794909,3,1,0.04
1551050370.3700614,0,1,0.04
1551050371.3544412,3,1,0.04
1551050372.3387673,5,0,0.04
1551050373.4325552,6,0,0.04
1551050374.416895,3,0,0.04
1551050375.401282,6,0,0.04
1551050376.385648,6,0,0.04
1551050377.3557055,6,0,0.04
1551050378.4494593,6,0,0.04
1551050379.4338586,3,0,0.04
1551050380.4182105,7,0,0.04
1551050381.4025507,4,0,0.04
1551050382.3869834,6,0,0.04
1551050383.4806788,5,0,0.04
1551050384.4650915,3,0,0.04
1551050385.4494324,6,0,0.04
1551050386.4338624,3,0,0.04
1551050387.4182205,9,0,0.04
1551050388.4026337,1,2,0.04
1551050389.4963486,2,3,0.04
1551050390.4807286,8,4,0.04
1551050391.46512,6,3,0.04
1551050392.450826,3,3,0.04
1551050393.4398777,0,3,0.04
1551050394.5336087,1,4,0.04
1551050395.5180247,2,3,0.04
1551050396.5023837,0,3,0.04
1551050397.485945,2,3,0.04
1551050398.470359,2,4,0.04
1551050399.5641086,0,3,0.04
1551050400.5485244,4,3,0.04
1551050401.5328624,1,3,0.04
1551050402.5172365,1,4,0.04
1551050403.5016174,5,3,0.04
1551050404.486011,4,3,0.04
1551050405.579717,2,3,0.04
1551050406.5640838,3,3,0.04
1551050407.5497868,0,1,0.04
1551050408.5341237,2,0,0.04
1551050409.5185006,9,0,0.04
1551050410.612324,6,0,0.04
1551050411.596668,6,0,0.04
1551050412.5810044,9,0,0.04
1551050413.565381,6,0,0.04
1551050414.5497591,8,0,0.04
1551050415.6435487,6,0,0.04
1551050416.6278856,6,0,0.04
1551050417.6123388,8,0,0.04
1551050418.5966384,4,0,0.04
1551050419.5810537,7,0,0.04
1551050420.565391,6,0,0.04
1551050421.6592188,7,0,0.04
1551050422.6435962,6,0,0.04
1551050423.624091,5,0,0.04
1551050424.6084695,9,0,0.04
1551050425.5928574,6,0,0.04
1551050426.6865957,5,0,0.04
1551050427.669592,7,0,0.04
1551050428.6539652,9,0,0.04
1551050429.638345,6,0,0.04
1551050430.622683,6,0,0.04
1551050431.716514,6,0,0.04
1551050432.7072604,8,0,0.04
1551050433.691598,7,0,0.04
1551050434.6759734,6,0,0.04
1551050435.6603487,6,0,0.04
1551050436.7540991,7,0,0.04
1551050437.7385166,7,0,0.04
1551050438.722817,5,0,0.04
1551050439.707267,9,0,0.04
1551050440.6915698,8,0,0.04
1551050441.6759462,0,1,0.04
1551050442.771161,2,2,0.04
1551050443.7555542,5,2,0.04
1551050444.7399313,7,2,0.04
1551050445.7242534,4,2,0.04
1551050446.7086463,2,2,0.04
1551050447.8024187,4,2,0.04
1551050448.7868354,5,2,0.04
1551050449.7711356,0,2,0.04
1551050450.7555528,2,2,0.04
1551050451.7399626,2,2,0.04
1551050452.724305,5,2,0.04
1551050453.818056,11,2,0.04
1551050454.8072557,2,2,0.04
1551050455.7915947,4,3,0.04
1551050456.775972,0,2,0.04
1551050457.8668113,4,2,0.04
1551050458.851149,4,2,0.04
1551050459.8355665,2,2,0.04
1551050460.8199525,4,2,0.04
1551050461.8043146,4,2,0.04
1551050462.791986,5,2,0.04
1551050463.8857372,3,2,0.04
1551050464.8701894,1,2,0.04
1551050465.854566,35,2,0.04
1551050466.8389022,0,2,0.04
1551050467.8232827,3,2,0.04
1551050468.8076196,5,0,0.04
1551050469.901372,3,0,0.04
1551050470.885825,3,0,0.04
1551050471.8701642,55,0,0.04
1551050472.854501,13,0,0.04
1551050473.8388777,0,0,0.04
1551050474.9327006,0,0,0.04
1551050475.9170055,0,0,0.04
1551050476.9014206,0,0,0.04
1551050477.885758,0,0,0.04
1551050478.8701353,1,0,0.04
1551050479.9639583,9,1,0.04
1551050480.948298,3,1,0.04
1551050481.932639,0,2,0.04
