t,hb,pedal,resistance,hb_bpm
1551233080.6600878,2,0,0.22,20.4
1551233081.6444542,6,0,0.22,1.2
1551233082.6287956,8,0,0.22,15.3
1551233083.7225473,13,0,0.22,1.2
1551233084.7069392,34,0,0.22,1.2
1551233085.6913395,19,0,0.21,1.8
1551233086.675736,20,0,0.22,1.5
1551233087.66171,20,0,0.22,2.1
1551233088.7554128,5,0,0.22,6.9
1551233089.7398093,8,0,0.22,10.5
1551233090.7241657,10,0,0.22,3.0
1551233091.7085867,1,0,0.22,12.0
1551233092.6929414,1,0,0.22,110.1
1551233093.677316,1,0,0.22,32.4
1551233094.771095,1,0,0.22,88.5
1551233095.7554398,4,0,0.22,1.5
1551233096.7398612,8,0,0.22,15.0
1551233097.7255378,0,0,0.22,15.0
1551233098.7099159,3,0,0.22,18.9
1551233099.8036695,4,0,0.22,16.8
1551233100.8974154,2,0,0.22,36.3
1551233101.7724047,2,0,0.22,11.7
1551233102.7567883,4,0,0.22,10.5
1551233103.7411723,0,0,0.22,10.5
1551233104.725503,2,0,0.22,29.7
