t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1566079563.9537249,0,0,0.37,46.15
1566079564.96038,0,0,0.37,46.15
1566079565.916538,1,0,0.37,17.22
1566079566.9950433,1,0,0.37,60.0
1566079567.983147,0,0,0.37,60.0
1566079569.0555744,1,0,0.37,26.67
1566079569.9456866,0,0,0.37,26.67
1566079571.0377395,0,0,0.37,26.67
1566079571.9506319,1,0,0.37,18.26
1566079572.9602802,1,0,0.37,150.0
1566079573.9716027,0,0,0.37,150.0
1566079575.039697,1,0,0.37,116.5
1566079576.0580158,2,0,0.37,169.01
1566079577.001413,2,0,0.37,139.53
1566079578.006448,1,1,0.37,118.81
1566079579.026502,1,2,0.37,47.62
1566079580.0324163,2,1,0.37,97.56
1566079581.0609176,0,2,0.37,97.56
1566079582.0112314,1,1,0.37,32.88
1566079583.0454392,2,2,0.37,98.36
1566079584.0708573,1,1,0.37,97.56
1566079585.111707,2,2,0.37,96.77
1566079586.1072273,2,1,0.37,96.77
1566079587.0605328,1,2,0.37,94.49
1566079588.0930474,2,2,0.37,95.24
1566079589.060859,2,1,0.37,235.29
1566079590.0637822,2,2,0.37,94.49
1566079591.122264,0,1,0.37,94.49
1566079592.139437,1,2,0.37,32.26
1566079593.0875988,1,2,0.37,94.49
1566079594.107757,2,1,0.37,98.36
1566079595.1319728,1,2,0.37,96.0
1566079596.1725793,2,1,0.37,100.0
1566079597.0998456,2,2,0.37,100.0
1566079598.1509395,1,2,0.37,101.69
1566079599.16327,2,1,0.37,101.69
1566079600.196217,2,2,0.37,103.45
1566079601.106541,1,2,0.37,103.45
1566079602.1352751,2,1,0.37,106.19
1566079603.1474154,2,2,0.37,107.14
1566079604.2123117,2,1,0.37,109.09
1566079605.1606028,2,2,0.37,109.09
1566079606.1663253,1,2,0.37,110.09
1566079607.1423566,2,1,0.37,110.09
1566079608.1937795,2,2,0.37,111.11
1566079609.228762,2,1,0.37,155.84
1566079610.2193732,2,2,0.37,112.15
1566079611.2128685,2,1,0.37,112.15
1566079612.148912,2,1,0.37,113.21
1566079613.1800973,3,2,0.37,113.21
1566079614.1907206,2,1,0.37,113.21
1566079615.2340326,1,2,0.37,114.29
1566079616.2539432,1,1,0.37,113.21
1566079617.1751728,2,2,0.37,114.29
1566079618.1966968,2,1,0.37,114.29
1566079619.2021189,2,2,0.37,114.29
1566079620.2566783,2,1,0.37,116.5
1566079621.2048526,2,2,0.37,116.5
1566079622.2322805,2,1,0.37,116.5
1566079623.2942195,2,2,0.37,118.81
1566079624.3085005,2,1,0.37,116.5
1566079625.2245345,2,2,0.37,120.0
1566079626.247319,2,1,0.37,118.81
1566079627.2641523,1,2,0.37,120.0
1566079628.3124933,2,1,0.37,193.55
1566079629.2679389,2,2,0.37,120.0
1566079630.3387513,2,1,0.37,120.0
1566079631.325654,2,1,0.37,121.21
1566079632.2796185,2,2,0.37,120.0
1566079633.3034418,2,1,0.37,120.0
1566079634.3259208,2,2,0.37,121.21
1566079635.2712023,2,1,0.37,118.81
1566079636.2999897,2,2,0.37,121.21
1566079637.3343427,2,1,0.37,122.45
1566079638.3472314,2,2,0.37,123.71
1566079639.2855127,2,1,0.37,123.71
1566079640.3376472,2,2,0.37,122.45
1566079641.2952957,2,1,0.37,123.71
1566079642.3495092,2,2,0.37,126.32
1566079643.40834,3,1,0.37,123.71
1566079644.3692324,1,2,0.37,62.18
1566079645.3861363,2,1,0.37,126.32
1566079646.3594053,2,1,0.37,123.71
1566079647.42737,0,2,0.37,123.71
1566079648.408732,1,1,0.37,31.25
1566079649.3463497,2,2,0.37,125.0
1566079650.419012,2,1,0.37,125.0
1566079651.3415198,2,1,0.37,123.71
1566079652.34749,2,1,0.37,125.0
1566079653.3889658,2,1,0.37,125.0
1566079654.4172869,3,0,0.37,122.45
1566079655.3674078,2,0,0.37,121.21
1566079656.3813014,2,0,0.37,121.21
1566079657.4024227,2,0,0.37,118.81
1566079658.443746,2,0,0.37,121.21
1566079659.4658647,2,0,0.37,120.0
1566079660.4031682,2,0,0.37,120.0
1566079661.4880996,2,0,0.37,117.65
1566079662.4244075,2,0,0.37,115.38
1566079663.495254,1,0,0.37,113.21
1566079664.4282634,2,0,0.37,114.29
1566079665.4839377,2,0,0.37,113.21
1566079666.4264472,2,0,0.37,111.11
1566079667.4803624,2,0,0.37,112.15
1566079668.4377892,2,0,0.37,109.09
1566079669.483312,2,0,0.37,109.09
1566079670.4909494,1,0,0.37,109.09
1566079671.486696,2,0,0.37,108.11
1566079672.5440252,2,0,0.37,107.14
1566079673.483125,2,0,0.37,105.26
1566079674.486634,2,0,0.37,107.14
1566079675.5270188,1,0,0.37,104.35
1566079676.5116484,2,0,0.37,106.19
1566079677.5662096,2,0,0.37,102.56
1566079678.5355904,0,0,0.37,102.56
1566079679.5015476,0,1,0.37,102.56
1566079680.5384245,2,1,0.37,106.19
1566079681.5739942,2,1,0.37,109.09
1566079682.5009823,2,2,0.37,108.11
1566079683.548147,1,1,0.37,105.26
1566079684.6039886,2,2,0.37,103.45
1566079685.6352751,2,1,0.37,106.19
1566079686.57461,2,1,0.37,105.26
1566079687.547182,2,2,0.37,108.11
1566079688.6123805,1,1,0.37,106.19
1566079689.600537,2,2,0.37,105.26
1566079690.561838,2,1,0.37,105.26
1566079691.5721633,2,1,0.37,106.19
1566079692.664106,1,2,0.37,108.11
1566079693.5735388,2,1,0.37,109.09
1566079694.6024158,2,1,0.37,110.09
1566079695.6586106,2,2,0.37,110.09
1566079696.6306624,2,1,0.37,107.14
1566079697.6687815,2,1,0.37,108.11
1566079698.6089597,1,2,0.37,107.14
1566079699.5796452,3,1,0.37,255.32
1566079700.62404,2,1,0.37,108.11
1566079701.6859524,2,2,0.37,109.09
1566079702.682708,2,1,0.37,110.09
1566079703.636668,2,2,0.37,109.09
1566079704.717094,2,1,0.37,266.67
1566079705.6734262,2,1,0.37,110.09
1566079706.6243944,2,2,0.37,112.15
1566079707.7025044,2,1,0.37,112.15
1566079708.6722772,2,0,0.37,112.15
1566079709.6611605,2,0,0.37,111.11
1566079710.6355689,2,0,0.37,109.09
1566079711.6898992,1,0,0.37,110.09
1566079712.6642468,2,0,0.37,110.09
1566079713.710296,2,0,0.37,110.09
1566079714.679671,2,0,0.37,110.09
1566079715.735816,2,0,0.37,96.77
1566079716.7122881,1,0,0.37,150.0
1566079717.6774368,2,0,0.37,164.38
1566079718.7514765,1,0,0.37,279.07
1566079719.7600965,1,0,0.37,55.56
1566079720.7398925,0,0,0.37,55.56
1566079721.710259,1,0,0.37,150.0
1566079722.703816,0,0,0.37,150.0
1566079723.7746172,0,0,0.37,150.0
1566079724.7357903,0,0,0.37,150.0
1566079725.797782,0,0,0.37,150.0
1566079726.740773,0,0,0.37,150.0
1566079727.8073506,0,0,0.37,150.0
1566079728.7708163,0,0,0.37,150.0
1566079729.7709029,2,0,0.37,200.0
1566079730.7736452,1,0,0.37,133.33
1566079731.8447618,2,0,0.37,109.09
1566079732.8301456,2,0,0.37,94.49
1566079733.7696383,2,0,0.37,260.87
1566079734.7645607,0,0,0.37,260.87
1566079735.8324451,1,0,0.37,44.94
1566079736.788776,3,0,0.37,133.33
1566079737.8364398,3,0,0.37,300.0
1566079738.9197853,1,0,0.37,133.33
1566079739.8809133,0,0,0.37,133.33
1566079740.8504088,1,0,0.37,49.38
1566079741.839311,0,0,0.37,49.38
1566079742.9320486,0,0,0.37,49.38
1566079743.9172692,3,0,0.37,300.0
1566079744.8765883,1,0,0.37,60.0
1566079745.8217242,0,0,0.37,60.0
1566079746.9278476,0,0,0.37,60.0
1566079747.9271603,0,0,0.37,60.0
