t,pedal_cnt,resist_pct,tgt_resist_pct,power,work
1609797512.4144983,1,0.27,0.11,0.0,0.0
1609797517.5596888,1,0.27,0.11,6.39,0.04
1609797518.9878604,1,0.27,0.11,74.76,0.13
1609797520.2846253,1,0.25,0.09,95.99,0.15
1609797521.5041232,1,0.27,0.11,107.74,0.16
1609797522.7190185,1,0.25,0.09,106.49,0.16
1609797524.0280237,1,0.27,0.11,111.52,0.16
1609797525.240545,1,0.26,0.11,110.75,0.16
1609797526.3284194,1,0.27,0.11,116.88,0.17
1609797527.7455382,1,0.25,0.09,91.66,0.14
1609797529.062722,1,0.27,0.11,93.2,0.15
1609797530.917204,1,0.25,0.09,44.16,0.1
1609797535.5098956,1,0.27,0.11,7.92,0.04
1609797543.520369,1,0.27,0.11,2.64,0.03
1609797544.9688885,1,0.27,0.11,71.34,0.13
1609797546.3001359,1,0.27,0.11,93.75,0.15
1609797548.1220055,1,0.25,0.09,49.47,0.11
1609797569.8259032,1,0.27,0.15,0.0,0.0
1609797589.8527374,1,0.27,0.16,0.0,0.0
1609797592.4749074,1,0.27,0.16,22.88,0.07
1609797595.9836662,1,0.27,0.16,13.35,0.06
1609797601.2735217,1,0.27,0.16,5.96,0.04
1609797606.9422514,1,0.27,0.16,5.24,0.04
1609797613.0086143,1,0.27,0.16,4.56,0.03
1609797616.2947905,1,0.27,0.15,15.29,0.06
1609797618.2525868,1,0.27,0.16,46.48,0.11
1609797620.8826478,1,0.27,0.16,22.95,0.07
1609797623.4051015,1,0.27,0.16,26.6,0.08
1609797624.8302393,1,0.27,0.16,79.47,0.14
1609797626.2448323,1,0.27,0.16,91.78,0.15
1609797627.665949,1,0.27,0.16,79.35,0.14
1609797630.294559,1,0.27,0.16,24.98,0.08
1609797638.3933418,1,0.27,0.16,2.5,0.02
1609797649.594197,1,0.27,0.16,0.0,0.0
1609797658.1355689,1,0.27,0.16,2.33,0.02
1609797659.3418233,1,0.25,0.16,102.65,0.15
1609797660.533086,1,0.27,0.16,118.99,0.17
1609797661.7413356,1,0.27,0.16,113.95,0.16
1609797662.8438234,1,0.27,0.16,133.13,0.18
1609797663.9381387,1,0.27,0.16,127.38,0.17
1609797665.1489944,1,0.27,0.16,115.91,0.17
1609797691.1319416,1,0.27,0.16,0.0,0.0
1609797694.4239683,1,0.27,0.16,15.05,0.06
1609797696.0789444,1,0.27,0.16,57.48,0.12
1609797697.5400376,1,0.25,0.15,83.93,0.14
1609797699.255971,1,0.25,0.15,48.14,0.1
1609797701.789302,1,0.25,0.15,26.16,0.08
1609797703.6322773,1,0.25,0.15,47.59,0.1
1609797705.07013,1,0.27,0.16,71.27,0.13
1609797706.3964248,1,0.25,0.15,91.02,0.14
1609797707.7104483,1,0.25,0.14,91.66,0.14
1609797709.2194924,1,0.25,0.15,76.48,0.13
1609797710.6630414,1,0.27,0.16,75.81,0.13
1609797712.2930303,1,0.27,0.16,64.03,0.12
1609797714.1345496,1,0.25,0.15,50.36,0.11
1609797716.5720634,1,0.27,0.16,25.76,0.08
1609797721.7067325,1,0.27,0.16,6.44,0.04
1609797726.3108737,1,0.27,0.16,7.99,0.04
1609797730.905729,1,0.27,0.16,7.87,0.04
1609797733.8559012,1,0.25,0.16,17.78,0.06
